Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Jonathan Bamba,2014-2015,18,Saint-Étienne,fr FRA,Coupe de France,1,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Jonathan Bamba,2015-2016,19,Saint-Étienne,fr FRA,1. Coupe de la Ligue,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Jonathan Bamba,2016-2017,20,Angers,fr FRA,Coupe de France,3,1,127,1.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Jonathan Bamba,2017-2018,21,Saint-Étienne,fr FRA,Coupe de France,2,1,108,1.2,1,1,2,1,0,0,0,0,,,,,,,,0.83,0.83,1.67,0.83,1.67,,,,,,Matches,,
Jonathan Bamba,2018-2019,22,Lille,fr FRA,Coupe de France,3,3,269,3.0,1,1,2,1,0,0,0,0,,,,,,,,0.33,0.33,0.67,0.33,0.67,,,,,,Matches,,
Jonathan Bamba,2019-2020,23,Lille,,1. Champions Lg,6,3,282,3.1,0,2,2,0,0,0,0,0,1.0,1.0,1.4,2.4,9,10,29,0.00,0.64,0.64,0.00,0.64,0.32,0.45,0.77,0.32,0.77,Matches,,
Jonathan Bamba,2020-2021,24,Lille,fr FRA,Coupe de France,2,0,58,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Jonathan Bamba,2021-2022,25,Lille,,1. Champions Lg,6,5,469,5.2,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.8,17,18,32,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches,,
Jonathan Bamba,2022-2023,26,Lille,fr FRA,Coupe de France,1,1,82,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Jonathan Bamba,2023-2024,27,Celta Vigo,es ESP,Copa del Rey,1,1,45,0.5,2,0,2,2,0,0,0,0,,,,,,,,4.00,0.00,4.00,4.00,4.00,,,,,,Matches,,
Jonathan Bamba,2024-2025,28,Celta Vigo,es ESP,Copa del Rey,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Zeki Celik,2018-2019,21,Lille,fr FRA,Coupe de France,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
