Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Willian Pacho,2021-2022,19,Antwerp,be BEL,1. First Division A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,
Willian Pacho,2022-2023,20,Antwerp,be BEL,1. Pro League A,33,33,2895,32.2,0,1,1,0,0,0,3,0,1.4,1.4,0.5,1.8,10,116,2,0.00,0.03,0.03,0.00,0.03,0.04,0.01,0.06,0.04,0.06,Matches,,,,,
Willian Pacho,2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,33,33,2970,33.0,0,3,3,0,0,0,7,0,1.2,1.2,1.1,2.3,22,148,4,0.00,0.09,0.09,0.00,0.09,0.04,0.03,0.07,0.04,0.07,Matches,,,,,
Willian Pacho,2024-2025,22,Paris S-G,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,
Warren Zaire Emery,2022-2023,16,Paris S-G,,1. Champions Lg,3,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,,,,,
Warren Zaire Emery,2023-2024,17,Paris S-G,,1. Champions Lg,11,10,904,10.0,1,3,4,1,0,0,1,0,0.7,0.7,1.3,2.0,30.0,41.0,25.0,0.1,0.3,0.4,0.1,0.4,0.07,0.13,0.2,0.07,0.2,Matches,,,,,
Warren Zaire Emery,2024-2025,18,Paris S-G,,1. Champions Lg,6,5,414,4.6,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.3,9.0,25.0,14.0,0.22,0.0,0.22,0.22,0.22,0.23,0.05,0.28,0.23,0.28,Matches,,,,,
Joao Neves,2022-2023,17,Benfica,,1. Champions Lg,3,0,29,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,2,0.00,3.10,3.10,0.00,3.10,0.00,0.24,0.24,0.00,0.24,Matches,,,,,
Joao Neves,2023-2024,18,Benfica,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,28,7,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches,,,,,
