Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches,Matches
Manuel Neuer,2020-2021,34,Bayern Munich,de GER,1. Bundesliga,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,
Manuel Neuer,2021-2022,35,Bayern Munich,de GER,1. Bundesliga,28,28,2510,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Manuel Neuer,2022-2023,36,Bayern Munich,de GER,1. Bundesliga,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,
Manuel Neuer,2023-2024,37,Bayern Munich,de GER,1. Bundesliga,23,23,2053,22.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Manuel Neuer,2024-2025,38,Bayern Munich,de GER,1. Bundesliga,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Thomas Muller,2020-2021,30,Bayern Munich,de GER,1. Bundesliga,32,31,2674,29.7,11,19,30,10,1,1,0,0,8.2,7.4,10.0,17.4,51.0,151.0,325.0,0.37,0.64,1.01,0.34,0.98,0.27,0.34,0.61,0.25,0.59,Matches,,,,,,
Thomas Muller,2021-2022,31,Bayern Munich,de GER,1. Bundesliga,32,32,2558,28.4,8,18,26,8,0,0,0,0,10.5,10.5,12.7,23.2,46.0,155.0,301.0,0.28,0.63,0.91,0.28,0.91,0.37,0.45,0.81,0.37,0.81,Matches,,,,,,
Thomas Muller,2022-2023,32,Bayern Munich,de GER,1. Bundesliga,27,21,1665,18.5,7,8,15,7,0,0,0,0,8.9,8.9,6.6,15.5,33.0,88.0,182.0,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84,Matches,,,,,,
Thomas Muller,2023-2024,33,Bayern Munich,de GER,1. Bundesliga,31,20,1654,18.4,5,9,14,5,0,0,0,0,5.7,5.7,8.4,14.1,38.0,82.0,188.0,0.27,0.49,0.76,0.27,0.76,0.31,0.46,0.77,0.31,0.77,Matches,,,,,,
Thomas Muller,2024-2025,34,Bayern Munich,de GER,1. Bundesliga,14,4,552,6.1,1,1,2,1,0,0,1,0,1.7,1.7,1.5,3.2,13.0,27.0,73.0,0.16,0.16,0.33,0.16,0.33,0.27,0.24,0.51,0.27,0.51,Matches,,,,,,
David Alaba,2020-2021,28,Bayern Munich,de GER,1. Bundesliga,32,30,2675,29.7,2,4,6,2,0,0,4,0,1.2,1.2,2.1,3.3,56,242,70,0.07,0.13,0.20,0.07,0.20,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,
David Alaba,2021-2022,29,Real Madrid,,1. Champions Lg,12,12,1039,11.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,15,28,8,0.09,0.00,0.09,0.09,0.09,0.02,0.02,0.05,0.02,0.05,Matches,,,,,,
David Alaba,2022-2023,30,Real Madrid,,1. Champions Lg,11,9,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,8,19,26,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches,,,,,,
David Alaba,2023-2024,31,Real Madrid,,1. Champions Lg,3,3,250,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,2,6,9,0.00,0.36,0.36,0.00,0.36,0.14,0.13,0.27,0.14,0.27,Matches,,,,,,
Jerome Boateng,2020-2021,31,Bayern Munich,de GER,1. Bundesliga,29,29,2368,26.3,1,1,2,1,0,0,6,0,0.4,0.4,0.5,0.9,8,184,7,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.03,0.01,0.03,Matches,,,,,,
Jerome Boateng,2021-2022,32,Lyon,,2. Europa Lg,3,3,195,2.2,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,1,9,1,0.00,0.46,0.46,0.00,0.46,0.00,0.20,0.20,0.00,0.20,Matches,,,,,,
Jerome Boateng,2022-2023,33,Lyon,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Jerome Boateng,2023-2024,34,Salernitana,it ITA,1. Serie A,7,4,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,
Jerome Boateng,2024-2025,35,LASK,at AUT,1. Bundesliga,4,1,100,1.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Joshua Kimmich,2020-2021,25,Bayern Munich,de GER,1. Bundesliga,27,25,2194,24.4,4,10,14,4,0,0,4,0,2.3,2.3,6.7,9.1,54,288,66,0.16,0.41,0.57,0.16,0.57,0.10,0.28,0.37,0.10,0.37,Matches,,,,,,
Joshua Kimmich,2021-2022,26,Bayern Munich,de GER,1. Bundesliga,28,28,2474,27.5,3,9,12,3,0,0,4,0,2.3,2.3,8.7,11.0,43,292,53,0.11,0.33,0.44,0.11,0.44,0.08,0.32,0.40,0.08,0.40,Matches,,,,,,
Joshua Kimmich,2022-2023,27,Bayern Munich,de GER,1. Bundesliga,33,32,2809,31.2,5,6,11,4,1,1,6,1,2.2,1.4,7.0,8.4,42,315,56,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.30,0.05,0.27,Matches,,,,,,
Joshua Kimmich,2023-2024,28,Bayern Munich,de GER,1. Bundesliga,28,27,2176,24.2,1,6,7,1,0,0,1,1,1.1,1.1,7.1,8.3,56,229,114,0.04,0.25,0.29,0.04,0.29,0.05,0.30,0.34,0.05,0.34,Matches,,,,,,
Joshua Kimmich,2024-2025,29,Bayern Munich,de GER,1. Bundesliga,14,14,1260,14.0,0,3,3,0,0,0,1,0,0.7,0.7,2.7,3.4,28,171,38,0.00,0.21,0.21,0.00,0.21,0.05,0.19,0.24,0.05,0.24,Matches,,,,,,
Kingsley Coman,2020-2021,24,Bayern Munich,de GER,1. Bundesliga,29,23,1752,19.5,5,10,15,5,0,0,1,0,4.2,4.2,6.4,10.6,103,76,268,0.26,0.51,0.77,0.26,0.77,0.21,0.33,0.55,0.21,0.55,Matches,,,,,,
Kingsley Coman,2021-2022,25,Bayern Munich,de GER,1. Bundesliga,21,16,1359,15.1,6,2,8,6,0,0,1,1,4.0,4.0,3.0,7.0,83,55,233,0.40,0.13,0.53,0.40,0.53,0.26,0.20,0.46,0.26,0.46,Matches,,,,,,
Kingsley Coman,2022-2023,26,Bayern Munich,de GER,1. Bundesliga,24,16,1409,15.7,8,5,13,8,0,0,2,1,4.6,4.6,5.5,10.1,98,70,296,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65,Matches,,,,,,
Kingsley Coman,2023-2024,27,Bayern Munich,de GER,1. Bundesliga,17,15,1113,12.4,3,3,6,3,0,0,1,0,2.8,2.8,3.8,6.6,75,72,210,0.24,0.24,0.49,0.24,0.49,0.22,0.31,0.53,0.22,0.53,Matches,,,,,,
Kingsley Coman,2024-2025,28,Bayern Munich,de GER,1. Bundesliga,13,6,622,6.9,3,2,5,3,0,0,0,0,1.2,1.2,1.9,3.1,34,28,110,0.43,0.29,0.72,0.43,0.72,0.18,0.27,0.45,0.18,0.45,Matches,,,,,,
Alphonso Davies,2020-2021,19,Bayern Munich,de GER,1. Bundesliga,23,22,1763,19.6,1,2,3,1,0,0,2,1,0.2,0.2,1.9,2.1,80,123,131,0.05,0.10,0.15,0.05,0.15,0.01,0.10,0.11,0.01,0.11,Matches,,,,,,
Alphonso Davies,2021-2022,20,Bayern Munich,de GER,1. Bundesliga,22,20,1740,19.3,0,3,3,0,0,0,3,0,1.3,1.3,4.1,5.4,113,98,201,0.00,0.16,0.16,0.00,0.16,0.07,0.21,0.28,0.07,0.28,Matches,,,,,,
Alphonso Davies,2022-2023,21,Bayern Munich,de GER,1. Bundesliga,26,24,2042,22.7,1,4,5,1,0,0,0,0,1.7,1.7,3.7,5.4,117,133,158,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24,Matches,,,,,,
Alphonso Davies,2023-2024,22,Bayern Munich,de GER,1. Bundesliga,29,24,2065,22.9,2,5,7,2,0,0,0,0,1.0,1.0,2.9,3.8,121,117,139,0.09,0.22,0.31,0.09,0.31,0.04,0.12,0.17,0.04,0.17,Matches,,,,,,
Alphonso Davies,2024-2025,23,Bayern Munich,de GER,1. Bundesliga,12,11,1005,11.2,0,1,1,0,0,0,0,0,0.6,0.6,1.0,1.5,47,69,96,0.00,0.09,0.09,0.00,0.09,0.05,0.09,0.14,0.05,0.14,Matches,,,,,,
Serge Gnabry,2020-2021,25,Bayern Munich,de GER,1. Bundesliga,27,20,1644,18.3,10,2,12,10,0,0,4,0,8.0,8.0,6.0,14.1,82,93,216,0.55,0.11,0.66,0.55,0.66,0.44,0.33,0.77,0.44,0.77,Matches,,,,,,
Serge Gnabry,2021-2022,26,Bayern Munich,de GER,1. Bundesliga,34,25,2185,24.3,14,5,19,14,0,0,0,0,8.5,8.5,8.4,16.9,100,127,313,0.58,0.21,0.78,0.58,0.78,0.35,0.35,0.70,0.35,0.70,Matches,,,,,,
Serge Gnabry,2022-2023,27,Bayern Munich,de GER,1. Bundesliga,34,22,1941,21.6,14,5,19,13,1,1,0,0,11.2,10.4,5.3,15.7,74,82,217,0.65,0.23,0.88,0.60,0.83,0.52,0.25,0.76,0.48,0.73,Matches,,,,,,
Serge Gnabry,2023-2024,28,Bayern Munich,de GER,1. Bundesliga,10,5,432,4.8,3,1,4,3,0,0,0,0,2.4,2.4,1.2,3.7,23,23,49,0.62,0.21,0.83,0.62,0.83,0.51,0.26,0.77,0.51,0.77,Matches,,,,,,
Serge Gnabry,2024-2025,29,Bayern Munich,de GER,1. Bundesliga,9,6,494,5.5,2,2,4,2,0,0,0,0,2.3,2.3,2.3,4.6,24,27,72,0.36,0.36,0.73,0.36,0.73,0.43,0.41,0.84,0.43,0.84,Matches,,,,,,
Leroy Sane,2020-2021,24,Bayern Munich,de GER,1. Bundesliga,,18,1805,20.1,6,9,15,6,0,0,2,0,5.4,5.4,6.8,12.1,73,84,230,0.30,0.45,0.75,0.30,0.75,0.27,0.34,0.61,0.27,0.61,Matches,32,,,,,
Leroy Sane,2021-2022,25,Bayern Munich,de GER,1. Bundesliga,,22,1976,22.0,7,7,14,7,0,0,3,0,11.4,11.4,6.2,17.6,80,117,203,0.32,0.32,0.64,0.32,0.64,0.52,0.28,0.80,0.52,0.80,Matches,32,,,,,
Leroy Sane,2022-2023,26,Bayern Munich,de GER,1. Bundesliga,,20,2010,22.3,8,7,15,8,0,0,4,0,8.5,8.5,4.3,12.8,77,134,198,0.36,0.31,0.67,0.36,0.67,0.38,0.19,0.57,0.38,0.57,Matches,32,,,,,
Leroy Sane,2023-2024,27,Bayern Munich,de GER,1. Bundesliga,,25,2137,23.7,8,11,19,8,0,0,4,0,10.9,10.9,10.8,21.8,121,113,274,0.34,0.46,0.80,0.34,0.80,0.46,0.46,0.92,0.46,0.92,Matches,27,,,,,
Leroy Sane,2024-2025,28,Bayern Munich,de GER,1. Bundesliga,,4,475,5.3,2,1,3,2,0,0,1,0,2.8,2.8,0.9,3.7,18,20,90,0.38,0.19,0.57,0.38,0.57,0.52,0.17,0.69,0.52,0.69,Matches,10,,,,,
Leon Goretzka,2020-2021,25,Bayern Munich,de GER,1. Bundesliga,24,18,1705,18.9,5,5,10,5,0,0,2,0,3.7,3.7,2.8,6.5,45,137,42,0.26,0.26,0.53,0.26,0.53,0.19,0.15,0.34,0.19,0.34,Matches,,,,,,
Leon Goretzka,2021-2022,26,Bayern Munich,de GER,1. Bundesliga,19,19,1396,15.5,3,3,6,3,0,0,0,0,4.1,4.1,2.3,6.4,25,98,71,0.19,0.19,0.39,0.19,0.39,0.26,0.15,0.41,0.26,0.41,Matches,,,,,,
Leon Goretzka,2022-2023,27,Bayern Munich,de GER,1. Bundesliga,27,22,1728,19.2,3,2,5,3,0,0,5,0,4.7,4.7,2.3,7.1,42,114,62,0.16,0.10,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37,Matches,,,,,,
Leon Goretzka,2023-2024,28,Bayern Munich,de GER,1. Bundesliga,30,25,2241,24.9,6,7,13,6,0,0,3,0,5.0,5.0,5.3,10.2,66,176,71,0.24,0.28,0.52,0.24,0.52,0.20,0.21,0.41,0.20,0.41,Matches,,,,,,
Leon Goretzka,2024-2025,29,Bayern Munich,de GER,1. Bundesliga,9,3,376,4.2,1,1,2,1,0,0,0,0,0.9,0.9,0.9,1.8,15,39,7,0.24,0.24,0.48,0.24,0.48,0.21,0.22,0.42,0.21,0.42,Matches,,,,,,
Lucas Hernandez,2020-2021,24,Bayern Munich,de GER,1. Bundesliga,23,18,1597,17.7,0,2,2,0,0,0,4,0,0.7,0.7,1.8,2.5,42,86,81,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14,Matches,,,,,,
Lucas Hernandez,2021-2022,25,Bayern Munich,de GER,1. Bundesliga,25,25,2030,22.6,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.9,47,193,32,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.04,0.02,0.04,Matches,,,,,,
Lucas Hernandez,2022-2023,26,Bayern Munich,de GER,1. Bundesliga,7,6,476,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,34,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,
Lucas Hernandez,2023-2024,27,Paris S-G,,1. Champions Lg,11,10,841,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.8,1.4,15,39,8,0.11,0.00,0.11,0.11,0.11,0.07,0.08,0.15,0.07,0.15,Matches,,,,,,
