Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches
Ryan Flamingo,2022-2023,19,Vitesse,nl NED,1. Eredivisie,33,30,2683,29.8,3,1,4,3,0,0,4,0,3.0,3.0,0.9,3.9,18,117,22,0.10,0.03,0.13,0.10,0.13,0.10,0.03,0.13,0.10,0.13,Matches,,,,,
Ryan Flamingo,2023-2024,20,Utrecht,nl NED,1. Eredivisie,32,30,2759,30.7,2,1,3,2,0,0,4,0,2.6,2.6,0.6,3.2,23,142,28,0.07,0.03,0.10,0.07,0.10,0.09,0.02,0.11,0.09,0.11,Matches,,,,,
Ryan Flamingo,2024-2025,21,PSV Eindhoven,,1. Champions Lg,6,6,540,6.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,4,36,0,0.17,0.00,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06,Matches,,,,,
Matteo Dams,2021-2022,17,Jong PSV,nl NED,2. Eerste Divisie,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Matteo Dams,2022-2023,18,Jong PSV,nl NED,2. Eerste Divisie,12,1,187,2.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Matteo Dams,2023-2024,19,Jong PSV,nl NED,2. Eerste Divisie,32,29,2576,28.6,1,0,1,1,0,0,1,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,Matches,,,,,
Matteo Dams,2024-2025,20,PSV Eindhoven,,1. Champions Lg,6,6,416,4.6,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,19,13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,
Ivan Perisic,2010-2011,21,Club Brugge,,2. Europa Lg,,6,487,5.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,6,,,,
Ivan Perisic,2011-2012,22,Dortmund,de GER,1. Bundesliga,,8,974,10.8,7,2,9,7,0,0,2,1,,,,,,,,0.65,0.18,0.83,0.65,0.83,,,,,,Matches,28,,,,
Ivan Perisic,2012-2013,23,Wolfsburg,de GER,1. Bundesliga,,7,542,6.0,2,2,4,2,0,0,1,0,,,,,,,,0.33,0.33,0.66,0.33,0.66,,,,,,Matches,11,,,,
Ivan Perisic,2013-2014,24,Wolfsburg,de GER,1. Bundesliga,,24,2193,24.4,10,4,14,10,0,0,4,0,,,,,,,,0.41,0.16,0.57,0.41,0.57,,,,,,Matches,33,,,,
Ivan Perisic,2014-2015,25,Wolfsburg,de GER,1. Bundesliga,,21,1719,19.1,5,4,9,5,0,1,4,0,,,,,,,,0.26,0.21,0.47,0.26,0.47,,,,,,Matches,24,,,,
Ivan Perisic,2015-2016,26,Wolfsburg,de GER,1. Bundesliga,,2,163,1.8,1,0,1,1,0,0,0,0,,,,,,,,0.55,0.00,0.55,0.55,0.55,,,,,,Matches,2,,,,
Ivan Perisic,2016-2017,27,Inter,it ITA,Coppa Italia,,1,90,1.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.00,1.00,0.00,1.00,,,,,,Matches,1,,,,
Ivan Perisic,2017-2018,28,Inter,it ITA,Coppa Italia,,1,173,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,2,,,,
Ivan Perisic,2018-2019,29,Inter,,1. Champions Lg,,6,499,5.5,0,0,0,0,0,0,2,0,0.6,0.6,2.1,2.7,19,13,49,0.00,0.00,0.00,0.00,0.00,0.12,0.37,0.49,0.12,0.49,Matches,6,,,,
Ivan Perisic,2019-2020,30,Bayern Munich,de GER,1. Bundesliga,,11,1206,13.4,4,3,7,4,0,0,1,0,4.1,4.1,3.0,7.1,55,49,191,0.30,0.22,0.52,0.30,0.52,0.31,0.22,0.53,0.31,0.53,Matches,22,,,,
Ivan Perisic,2020-2021,31,Inter,,1. Champions Lg,,2,246,2.7,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,12,4,27,0.37,0.00,0.37,0.37,0.37,0.25,0.09,0.34,0.25,0.34,Matches,6,,,,
Ivan Perisic,2021-2022,32,Inter,,1. Champions Lg,,6,530,5.9,0,1,1,0,0,0,0,0,0.8,0.8,1.6,2.4,31,21,64,0.00,0.17,0.17,0.00,0.17,0.14,0.27,0.41,0.14,0.41,Matches,8,,,,
Ivan Perisic,2022-2023,33,Tottenham,,1. Champions Lg,,7,572,6.4,0,3,3,0,0,0,0,0,0.2,0.2,1.3,1.5,21,22,48,0.00,0.47,0.47,0.00,0.47,0.03,0.21,0.24,0.03,0.24,Matches,7,,,,
Ivan Perisic,2023-2024,34,Tottenham,eng ENG,EFL Cup,,1,70,0.8,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.29,1.29,0.00,1.29,,,,,,Matches,1,,,,
Ivan Perisic,2024-2025,35,PSV Eindhoven,nl NED,1. Eredivisie,,7,618,6.9,1,4,5,1,0,0,1,0,0.8,0.8,2.4,3.1,21,22,83,0.15,0.58,0.73,0.15,0.73,0.11,0.34,0.45,0.11,0.45,Matches,11,,,,
Rick Karsdorp,2014-2015,19,Feyenoord,nl NED,1. Eredivisie,19,14,1246,13.8,0,2,2,0,0,0,1,1,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,Matches,,,,,
Rick Karsdorp,2015-2016,20,Feyenoord,nl NED,1. Eredivisie,29,28,2461,27.3,0,10,10,0,0,0,4,1,,,,,,,,0.00,0.37,0.37,0.00,0.37,,,,,,Matches,,,,,
Rick Karsdorp,2016-2017,21,Feyenoord,nl NED,1. Eredivisie,30,29,2537,28.2,1,4,5,1,0,0,3,0,,,,,,,,0.04,0.14,0.18,0.04,0.18,,,,,,Matches,,,,,
Rick Karsdorp,2017-2018,22,Roma,it ITA,1. Serie A,1,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
