Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 23_level_0,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches,Matches
Jan Oblak,2020-2021,27,Atlético Madrid,,1. Champions Lg,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Jan Oblak,2021-2022,28,Atlético Madrid,,1. Champions Lg,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Jan Oblak,2022-2023,29,Atlético Madrid,,1. Champions Lg,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Jan Oblak,2023-2024,30,Atlético Madrid,,1. Champions Lg,10,10,930,10.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Jan Oblak,2024-2025,31,Atlético Madrid,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Koke,2020-2021,28,Atlético Madrid,,1. Champions Lg,8,7,663,7.4,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,12.0,56.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,,,,,,
Koke,2021-2022,29,Atlético Madrid,,1. Champions Lg,9,9,659,7.3,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,4.0,26.0,7.0,0.0,0.14,0.14,0.0,0.14,0.05,0.19,0.23,0.05,0.23,Matches,,,,,,
Koke,2022-2023,30,Atlético Madrid,,1. Champions Lg,4,4,329,3.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,1.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,,,,,,
Koke,2023-2024,31,Atlético Madrid,,1. Champions Lg,9,8,771,8.6,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,6.0,46.0,10.0,0.0,0.12,0.12,0.0,0.12,0.01,0.14,0.15,0.01,0.15,Matches,,,,,,
Koke,2024-2025,32,Atlético Madrid,,1. Champions Lg,6,3,313,3.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3.0,26.0,4.0,0.0,0.29,0.29,0.0,0.29,0.0,0.14,0.14,0.0,0.14,Matches,,,,,,
Marcos Llorente,2020-2021,25,Atlético Madrid,,1. Champions Lg,8,8,654,7.3,1,1,2,1,0,0,2,0,0.7,0.7,1.2,1.9,13,22,38,0.14,0.14,0.28,0.14,0.28,0.10,0.16,0.26,0.10,0.26,Matches,,,,,,
Marcos Llorente,2021-2022,26,Atlético Madrid,,1. Champions Lg,9,8,700,7.8,0,0,0,0,0,0,3,0,0.1,0.1,1.1,1.2,22,21,30,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.15,0.01,0.15,Matches,,,,,,
Marcos Llorente,2022-2023,27,Atlético Madrid,,1. Champions Lg,3,3,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,9,9,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,
