Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Playing Time
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,Matches,Matches,MP
Samir Handanovic,2020-2021,36,Inter,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Samir Handanovic,2021-2022,37,Inter,,1. Champions Lg,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Samir Handanovic,2022-2023,38,Inter,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Alessandro Bastoni,2020-2021,21,Inter,,1. Champions Lg,6,5,411,4.6,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,16,33,11,0.00,0.22,0.22,0.00,0.22,0.02,0.20,0.22,0.02,0.22,Matches,,,,,,
Alessandro Bastoni,2021-2022,22,Inter,,1. Champions Lg,8,7,667,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,8,38,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,,,,,,
Alessandro Bastoni,2022-2023,23,Inter,,1. Champions Lg,12,12,983,10.9,0,3,3,0,0,0,2,0,0.2,0.2,2.0,2.2,18,46,21,0.00,0.27,0.27,0.00,0.27,0.02,0.18,0.20,0.02,0.20,Matches,,,,,,
Alessandro Bastoni,2023-2024,24,Inter,,1. Champions Lg,7,6,500,5.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,23,9,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,,,,,,
Alessandro Bastoni,2024-2025,25,Inter,,1. Champions Lg,5,4,331,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,16,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,
Nicolo Barella,2020-2021,23,Inter,,1. Champions Lg,6,6,527,5.9,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,10,52,32,0.00,0.17,0.17,0.00,0.17,0.04,0.07,0.11,0.04,0.11,Matches,,,,,,
