Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Ederson,2012-2013,18,Rio Ave,pt POR,1. Primeira Liga,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ederson,2013-2014,19,Rio Ave,pt POR,1. Primeira Liga,18,17,1596,17.7,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ederson,2014-2015,20,Rio Ave,,2. Europa Lg,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ederson,2015-2016,21,Benfica,,1. Champions Lg,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ederson,2016-2017,22,Benfica,,1. Champions Lg,7,7,630,7.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Ederson,2017-2018,23,Manchester City,,1. Champions Lg,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2018-2019,24,Manchester City,,1. Champions Lg,10,10,900,10.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.10,0.10,0.00,0.10,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,
Ederson,2019-2020,25,Manchester City,,1. Champions Lg,8,8,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2020-2021,26,Manchester City,,1. Champions Lg,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2021-2022,27,Manchester City,,1. Champions Lg,11,11,1002,11.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2022-2023,28,Manchester City,,1. Champions Lg,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2023-2024,29,Manchester City,,1. Champions Lg,7,7,660,7.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,2024-2025,30,Manchester City,,1. Champions Lg,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Ederson,13 Seasons,13 Seasons,3 Clubs,,8 Leagues,434,432,38649,429.4,0,5,5,0,0,0,42,2,0.0,0.0,1.5,1.5,0,14,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,,,
Ederson,,,,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,
Ederson,Manchester City (8 Seasons),Manchester City (8 Seasons),Manchester City (8 Seasons),,6 Leagues,348,347,30992,344.4,0,5,5,0,0,0,28,1,0.0,0.0,1.5,1.5,0,14,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,,,
Ederson,Rio Ave (3 Seasons),Rio Ave (3 Seasons),Rio Ave (3 Seasons),,2 Leagues,39,38,3486,38.7,0,0,0,0,0,0,9,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Benfica (2 Seasons),Benfica (2 Seasons),Benfica (2 Seasons),,2 Leagues,47,47,4171,46.3,0,0,0,0,0,0,5,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Champions Lg (10 Seasons),Champions Lg (10 Seasons),Champions Lg (10 Seasons),,,82,82,7377,82.0,0,1,1,0,0,0,5,0,0.0,0.0,0.3,0.3,0,2,0,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,,,
Ederson,Premier League (8 Seasons),Premier League (8 Seasons),Premier League (8 Seasons),,,263,263,23360,259.6,0,4,4,0,0,0,23,1,0.0,0.0,1.2,1.2,0,12,0,0.00,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,,,,
