Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Playing Time : MP,LgRank
Aaron Bouwman,2024-2025,16.0,Jong Ajax,nl NED,2. Eerste Divisie,,7.0,624.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,16th
Aaron Bouwman,2023-2024,15.0,Jong Ajax,nl NED,2. Eerste Divisie,,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,15th
Adam Kaied,2024-2025,22.0,NAC Breda,nl NED,1. Eredivisie,,2.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,,,10th
Adam Kaied,2022-2023,20.0,NAC Breda,nl NED,2. Eerste Divisie,,0.0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,6th
Adam Kaied,2023-2024,21.0,NAC Breda,nl NED,2. Eerste Divisie,,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,8th
Adamo Nagalo,2023-2024,20.0,Nordsjælland,,3. Conf Lg,6.0,5.0,445.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.0,19.0,2.0,0.0,0.4,0.4,0.0,0.4,0.01,0.04,0.05,0.01,0.05,Matches,,
Adamo Nagalo,2020-2021,17.0,Nordsjælland,dk DEN,1. Danish Superliga,6.0,4.0,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Adamo Nagalo,2024-2025,21.0,PSV Eindhoven,,1. Champions Lg,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,
Adamo Nagalo,2022-2023,19.0,Nordsjælland,dk DEN,1. Danish Superliga,28.0,28.0,2442.0,27.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches,,
Adamo Nagalo,2021-2022,18.0,Nordsjælland,dk DEN,1. Danish Superliga,27.0,23.0,2028.0,22.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,Matches,,
Alessandro Florenzi,2020-2021,29.0,Paris S-G,,1. Champions Lg,10.0,10.0,807.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.1,9.0,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.01,0.12,Matches,,
Alessandro Florenzi,2010-2011,19.0,Roma,it ITA,1. Serie A,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alessandro Florenzi,2011-2012,20.0,Crotone,it ITA,2. Serie B,35.0,33.0,2868.0,31.9,11.0,2.0,13.0,11.0,0.0,0.0,8.0,0.0,,,,,,,,0.35,0.06,0.41,0.35,0.41,,,,,,,,
Alessandro Florenzi,2012-2013,21.0,Roma,it ITA,1. Serie A,36.0,25.0,2145.0,23.8,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.13,0.17,0.29,0.13,0.29,,,,,,Matches,,
