,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Matches,LgRank,MP,Matches,Playing Time : MP,Matches
0,Virgil van Dijk,2010-2011,19,Groningen,nl NED,1. Eredivisie,2,0,33,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
1,Virgil van Dijk,2011-2012,20,Groningen,nl NED,1. Eredivisie,23,21,1964,21.8,3,1,4,3,0,0,6,0,,,,,,,,0.14,0.05,0.18,0.14,0.18,,,,,,Matches,,,,,,
2,Virgil van Dijk,2012-2013,21,Groningen,nl NED,1. Eredivisie,32,32,2780,30.9,2,3,5,2,0,0,5,1,,,,,,,,0.06,0.10,0.16,0.06,0.16,,,,,,Matches,,,,,,
3,Virgil van Dijk,2013-2014,22,Celtic,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
4,Virgil van Dijk,2014-2015,23,Celtic,,2. Europa Lg,8,8,666,7.4,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
5,Virgil van Dijk,2015-2016,24,Southampton,eng ENG,FA Cup,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
6,Virgil van Dijk,2016-2017,25,Southampton,eng ENG,EFL Cup,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
7,Virgil van Dijk,2017-2018,26,Liverpool,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,15,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,,,,,,
8,Virgil van Dijk,2018-2019,27,Liverpool,,1. Champions Lg,12,12,1080,12.0,2,2,4,2,0,0,3,0,2.0,2.0,0.3,2.3,3,42,6,0.17,0.17,0.33,0.17,0.33,0.17,0.03,0.19,0.17,0.19,Matches,,,,,,
9,Virgil van Dijk,2019-2020,28,Liverpool,,1. Champions Lg,8,8,750,8.3,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,2,46,5,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,,,,,,
10,Virgil van Dijk,2020-2021,29,Liverpool,eng ENG,Community Shield,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
11,Virgil van Dijk,2021-2022,30,Liverpool,,1. Champions Lg,9,9,810,9.0,0,1,1,0,0,0,1,0,0.3,0.3,0.0,0.3,3,38,3,0.00,0.11,0.11,0.00,0.11,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,
12,Virgil van Dijk,2022-2023,31,Liverpool,,1. Champions Lg,8,8,720,8.0,0,1,1,0,0,0,1,0,1.0,1.0,0.1,1.1,5,33,1,0.00,0.12,0.12,0.00,0.12,0.13,0.01,0.14,0.13,0.14,Matches,,,,,,
13,Virgil van Dijk,2023-2024,32,Liverpool,eng ENG,EFL Cup,4,4,359,4.0,1,0,1,1,0,0,1,0,,,,,,,,0.25,0.00,0.25,0.25,0.25,,,,,,Matches,,,,,,
14,Virgil van Dijk,2024-2025,33,Liverpool,,1. Champions Lg,6,6,540,6.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,0,18,0,0.17,0.00,0.17,0.17,0.17,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,
32,Adrian,2012-2013,25,Betis,es ESP,1. La Liga,32,31,2869,31.9,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
